timestamp,storage-name,node,vserver,session-id,connection-id,volume,lif-address,address,windows-user
20231030033000,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761121,935060871,cifsvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030033000,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761121,935060871,pvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030033000,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761122,935060872,cifsvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030033000,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761122,935060872,pvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030034500,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761125,935060875,cifsvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030034500,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761125,935060875,pvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030040000,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761128,935060878,cifsvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030040000,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761128,935060878,pvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030041500,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761130,935060880,cifsvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
20231030041500,fsxn01,FsxId0e2af8012c0450738,psvm01,794040909300761130,935060880,pvol01,10.10.10.222,10.10.1.179,CIFSSERVER01\user01
